asset_id,asset_type,department,location,corridor_id,criticality,installation_date,last_maintenance_date,next_due_date,condition_score,availability_status,failure_history
AST-001,Track,Operations,Loc-253km,COR-011,High,1992-06-21,2025-12-08,2026-08-11,25.593820005455385,Requires Maintenance,5
AST-002,Bridge,Engineering,Loc-601km,COR-011,Critical,1992-05-19,2026-04-10,2026-07-29,42.33328316068077,Available,5
AST-003,Station,Traction,Loc-566km,COR-009,Medium,2003-01-04,2026-07-04,2026-10-03,51.54469128110745,Available,5
AST-004,Signal,Engineering,Loc-720km,COR-002,Critical,2004-08-14,2026-01-20,2026-12-27,86.97494707820945,Available,1
AST-005,Switch,S&T,Loc-840km,COR-008,Low,2000-05-10,2026-01-04,2026-08-04,17.135066533871786,Requires Maintenance,8
AST-006,Bridge,Engineering,Loc-643km,COR-007,Low,2016-03-01,2026-01-08,2026-07-17,56.25916610133736,Available,5
AST-007,Switch,S&T,Loc-541km,COR-007,Medium,2021-04-05,2026-01-04,2026-11-26,75.53314448428937,Available,2
AST-008,Track,Engineering,Loc-231km,COR-011,High,1995-12-12,2026-07-10,2027-02-12,84.02339195076289,Available,1
AST-009,OHE,Engineering,Loc-830km,COR-011,High,1992-10-12,2026-03-24,2026-07-31,18.542155772525128,Requires Maintenance,5
AST-010,Station,Operations,Loc-130km,COR-007,High,1991-02-22,2026-01-11,2026-08-31,19.94497011784771,Requires Maintenance,8
AST-011,Signal,Engineering,Loc-124km,COR-006,Low,2023-06-22,2025-12-26,2026-08-16,73.60677737029393,Available,1
AST-012,Signal,S&T,Loc-988km,COR-003,Critical,2008-04-07,2026-04-17,2026-08-23,73.87821809211411,Available,3
AST-013,Switch,Engineering,Loc-659km,COR-010,High,2001-05-05,2026-03-16,2026-06-22,72.99920230170895,Available,1
AST-014,Switch,Traction,Loc-896km,COR-008,Critical,2009-03-16,2026-05-16,2027-01-13,98.50928448767513,Available,0
AST-015,Track,Engineering,Loc-470km,COR-003,High,1997-07-03,2026-04-17,2026-08-17,51.21346547302799,Available,6
AST-016,Track,Engineering,Loc-49km,COR-006,Critical,2010-01-15,2026-03-29,2026-06-30,64.33710764797276,Available,2
AST-017,Track,Operations,Loc-735km,COR-005,Critical,2022-04-21,2026-03-15,2027-02-23,77.3859386948707,Available,4
AST-018,Switch,Traction,Loc-477km,COR-008,High,1991-10-17,2026-05-11,2027-04-11,73.55717584120254,Available,4
AST-019,Track,Engineering,Loc-959km,COR-002,High,2005-12-19,2026-04-02,2026-09-30,85.66202762782356,Available,2
AST-020,Track,Engineering,Loc-196km,COR-006,Medium,2022-08-21,2026-06-24,2027-01-07,41.52501249695247,Available,6
AST-021,Switch,Engineering,Loc-908km,COR-003,High,2008-12-26,2026-01-06,2026-07-31,76.30456668613309,Available,3
AST-022,Bridge,Engineering,Loc-435km,COR-001,High,1990-07-05,2025-11-18,2026-10-20,51.98936795787016,Available,4
AST-023,Switch,Engineering,Loc-23km,COR-012,Medium,2010-07-04,2025-11-07,2026-10-16,42.03644011594851,Available,4
AST-024,Track,Traction,Loc-497km,COR-004,High,1990-08-05,2026-08-19,2026-12-02,58.73063073132356,Available,4
AST-025,OHE,S&T,Loc-607km,COR-004,Critical,1992-01-01,2026-03-08,2026-07-18,59.4084963103261,Available,4
AST-026,Track,Engineering,Loc-75km,COR-002,Critical,2015-02-19,2026-05-10,2027-02-19,43.55943242301145,Available,5
AST-027,OHE,S&T,Loc-780km,COR-005,High,2007-01-07,2026-05-19,2027-01-15,67.39859416240436,Available,4
AST-028,Bridge,Traction,Loc-396km,COR-009,High,2014-06-13,2026-02-17,2026-06-05,58.886444308814745,Available,4
AST-029,Station,Traction,Loc-39km,COR-009,Medium,2001-09-20,2026-07-01,2027-02-26,87.50309835254025,Available,0
AST-030,Track,Engineering,Loc-492km,COR-007,Medium,2000-02-15,2026-06-08,2026-09-14,42.7935577338675,Available,7
AST-031,OHE,Traction,Loc-876km,COR-008,Medium,2006-07-25,2026-04-13,2026-08-01,11.455260127283871,Requires Maintenance,7
AST-032,Signal,Engineering,Loc-508km,COR-010,Medium,2009-12-08,2026-08-22,2027-05-28,61.72259222441357,Available,2
AST-033,Track,Traction,Loc-441km,COR-006,Medium,2010-11-05,2026-03-12,2027-01-22,80.1054624513367,Available,1
AST-034,Signal,S&T,Loc-698km,COR-001,High,2001-10-16,2026-03-20,2026-07-05,22.55116160168127,Requires Maintenance,7
AST-035,Track,Engineering,Loc-10km,COR-005,High,2017-03-06,2026-06-02,2027-05-13,89.31053722398013,Available,2
AST-036,OHE,Traction,Loc-461km,COR-005,High,2000-05-26,2026-06-21,2027-04-23,98.10553330781833,Available,0
AST-037,Track,Engineering,Loc-78km,COR-001,Critical,2012-05-21,2026-03-11,2026-12-27,43.767953017623114,Available,5
AST-038,Track,Engineering,Loc-306km,COR-004,High,1997-07-26,2025-12-16,2026-08-24,73.58503422029284,Available,2
AST-039,OHE,S&T,Loc-98km,COR-005,Critical,2003-02-11,2026-05-12,2027-02-17,79.59089197348165,Available,3
AST-040,Signal,S&T,Loc-184km,COR-003,Critical,2019-07-10,2026-07-03,2026-12-20,57.412773351165015,Available,3
AST-041,Switch,Traction,Loc-281km,COR-004,High,2012-07-16,2026-05-20,2026-08-25,89.00162876427385,Available,0
AST-042,OHE,Engineering,Loc-546km,COR-002,Critical,2011-05-06,2026-08-22,2027-04-01,51.19245329531603,Available,5
AST-043,Track,Engineering,Loc-526km,COR-011,High,1990-08-17,2025-12-13,2026-08-17,10.786242796821979,Requires Maintenance,8
AST-044,Signal,Engineering,Loc-883km,COR-008,High,1992-07-14,2025-12-27,2026-07-05,24.410321227829296,Requires Maintenance,7
AST-045,Track,Engineering,Loc-111km,COR-005,Critical,2002-04-25,2026-06-16,2026-07-22,13.645677569519162,Requires Maintenance,7
AST-046,Switch,S&T,Loc-582km,COR-008,High,2015-02-27,2026-01-06,2026-09-02,46.37901513977819,Available,5
AST-047,Track,Engineering,Loc-947km,COR-011,Critical,2000-04-15,2026-04-11,2026-11-04,80.29324433705717,Available,2
AST-048,Switch,S&T,Loc-90km,COR-011,Critical,1993-03-20,2026-01-10,2026-04-29,53.998954683014205,Available,5
AST-049,Switch,Engineering,Loc-613km,COR-011,Critical,1999-12-02,2026-08-10,2027-04-24,56.03210960797571,Available,6
AST-050,Track,Engineering,Loc-513km,COR-008,High,2003-05-24,2026-04-08,2026-09-20,91.06699250113437,Available,0
AST-051,Switch,S&T,Loc-402km,COR-008,Medium,2003-10-04,2026-05-26,2027-04-17,77.52509623826568,Available,1
AST-052,Switch,Engineering,Loc-646km,COR-003,Critical,2006-01-15,2026-05-11,2026-11-20,66.98905309573165,Available,2
AST-053,Track,S&T,Loc-834km,COR-010,High,2022-05-27,2025-11-07,2026-10-16,79.7012594635148,Available,2
AST-054,Switch,Traction,Loc-411km,COR-001,High,2004-08-05,2026-03-19,2026-08-02,66.82406757422973,Available,3
AST-055,Signal,S&T,Loc-993km,COR-004,Critical,2012-10-14,2026-01-17,2026-09-04,98.26798827809078,Available,0
AST-056,Track,Traction,Loc-726km,COR-012,Low,2004-10-09,2026-07-03,2026-08-18,12.044253284503991,Requires Maintenance,8
