task_id,asset_id,department,task_type,description,created_date,due_date,estimated_duration,required_block_duration,criticality,urgency,safety_impact,asset_impact,status,required_resources,preferred_time_window,corridor_id,dependency_task_id,ai_priority_score,ai_priority_level,ai_failure_risk,ai_risk_percentage,ai_train_impact_score,ai_reasons,ai_model_version
TSK-001,AST-023,Engineering,Inspection,Inspection maintenance on Switch,2026-08-21,2026-08-20,3.248163401019429,4.86097774442949,Medium,High,Medium,High,OVERDUE,Signal_Team,Morning,COR-012,,,,,,,,
TSK-002,AST-093,Traction,Corrective,Corrective maintenance on Switch,2026-07-28,2026-08-26,2.8185190409537384,3.2339717054548585,High,Low,Medium,High,OVERDUE,Signal_Team,Morning,COR-002,,,,,,,,
TSK-003,AST-094,S&T,Emergency,Emergency maintenance on Switch,2026-07-26,2026-08-31,1.0856245640037114,1.5331762075551183,Critical,Medium,High,High,OVERDUE,"Track_Machine,Telecom_Team",Any,COR-012,,,,,,,,
TSK-004,AST-026,Engineering,Corrective,Corrective maintenance on Track,2026-08-03,2026-08-28,0.7523888252530231,0.8894443975503658,Critical,Critical,High,High,OVERDUE,Telecom_Team,Afternoon,COR-002,,,,,,,,
TSK-005,AST-012,S&T,Corrective,Corrective maintenance on Signal,2026-08-16,2026-08-23,3.3642934826846806,3.768033699758121,Critical,High,High,High,OVERDUE,Bridge_Inspector,Morning,COR-003,,,,,,,,
TSK-006,AST-078,Engineering,Corrective,Corrective maintenance on Track,2026-08-02,2026-08-25,2.636913642553986,3.069752897685729,Medium,Critical,Medium,High,OVERDUE,"SCADA_Team,Welding_Unit",Early_Morning,COR-007,,,,,,,,
TSK-007,AST-027,S&T,Preventive,Preventive maintenance on OHE,2026-07-27,2026-08-21,1.7268218700015663,2.1568234987742323,High,Low,Medium,High,OVERDUE,"Telecom_Team,Rail_Testing",Night,COR-005,,,,,,,,
TSK-008,AST-053,S&T,Corrective,Corrective maintenance on Track,2026-08-21,2026-08-20,0.7353956988857875,0.8368561657686738,High,Medium,Medium,High,OVERDUE,Track_Machine,Afternoon,COR-010,,,,,,,,
TSK-009,AST-067,S&T,Preventive,Preventive maintenance on Bridge,2026-07-21,2026-08-18,3.7048528129157745,4.988679886283273,Critical,High,High,High,OVERDUE,OHE_Team,Any,COR-005,,,,,,,,
TSK-010,AST-021,Engineering,Preventive,Preventive maintenance on Switch,2026-07-10,2026-08-19,3.830056889820822,4.481919745426039,High,Critical,Medium,High,OVERDUE,"Point_Machine_Team,Track_Machine",Afternoon,COR-003,,,,,,,,
TSK-011,AST-090,Engineering,Emergency,Emergency maintenance on Track,2026-07-14,2026-08-24,1.3292666371732702,1.8223677360152604,Critical,Medium,High,High,OVERDUE,"Track_Gang,Rail_Testing",Night,COR-006,,,,,,,,
TSK-012,AST-007,S&T,Corrective,Corrective maintenance on Switch,2026-08-27,2026-08-25,0.8704863255726809,1.2615155359149954,Medium,Low,Medium,High,OVERDUE,SCADA_Team,Any,COR-007,,,,,,,,
TSK-013,AST-103,Engineering,Corrective,Corrective maintenance on Switch,2026-08-30,2026-08-24,0.7453784887443993,0.9377634540981282,Low,Medium,Medium,High,OVERDUE,"Point_Machine_Team,SCADA_Team",Any,COR-009,,,,,,,,
TSK-014,AST-020,Engineering,Corrective,Corrective maintenance on Track,2026-07-26,2026-08-20,3.130085305607703,3.608318919290388,Medium,Low,Medium,High,OVERDUE,Welding_Unit,Afternoon,COR-006,,,,,,,,
TSK-015,AST-084,Engineering,Inspection,Inspection maintenance on Track,2026-08-07,2026-08-29,2.858436143945016,4.112588979200715,High,High,Medium,High,OVERDUE,Bridge_Inspector,Afternoon,COR-005,,,,,,,,
TSK-016,AST-106,Traction,Preventive,Preventive maintenance on Station,2026-08-12,2026-08-29,3.35346715881696,4.888556172312468,Medium,Critical,Medium,High,OVERDUE,Rail_Testing,Night,COR-012,,,,,,,,
TSK-017,AST-068,Engineering,Preventive,Preventive maintenance on Switch,2026-07-12,2026-08-18,0.7171286727007353,0.8861717543652403,High,High,Medium,High,OVERDUE,Track_Machine,Night,COR-004,,,,,,,,
TSK-018,AST-095,Operations,Preventive,Preventive maintenance on Track,2026-07-08,2026-08-28,3.371706545680962,4.823348688746682,Medium,Critical,Medium,High,OVERDUE,"Telecom_Team,Bridge_Inspector",Any,COR-009,,,,,,,,
TSK-019,AST-091,Engineering,Preventive,Preventive maintenance on Station,2026-08-14,2026-08-29,1.482102846332706,1.837770686492662,High,Medium,Medium,High,OVERDUE,Track_Machine,Morning,COR-006,,,,,,,,
TSK-020,AST-105,S&T,Preventive,Preventive maintenance on Track,2026-08-02,2026-08-30,1.1341014779750702,1.6062012046872642,High,Critical,Medium,High,OVERDUE,Bridge_Inspector,Early_Morning,COR-010,,,,,,,,
TSK-021,AST-021,Engineering,Preventive,Preventive maintenance on Switch,2026-08-24,2026-08-22,0.6882030908169419,0.9412848180643921,High,Medium,Medium,High,OVERDUE,Bridge_Inspector,Morning,COR-003,,,,,,,,
TSK-022,AST-010,Operations,Corrective,Corrective maintenance on Station,2026-07-30,2026-08-26,3.5172664990180897,4.017288541365119,High,Low,Medium,High,OVERDUE,"Rail_Testing,Signal_Team",Night,COR-007,,,,,,,,
TSK-023,AST-097,Engineering,Inspection,Inspection maintenance on Track,2026-08-20,2026-08-20,3.608669723814564,4.257103915663264,High,Medium,Medium,High,OVERDUE,"SCADA_Team,Point_Machine_Team",Any,COR-002,,,,,,,,
TSK-024,AST-102,Traction,Preventive,Preventive maintenance on Bridge,2026-08-15,2026-08-27,3.880413119014164,4.587881311031221,Low,Critical,Medium,High,OVERDUE,"Signal_Team,Welding_Unit",Early_Morning,COR-006,,,,,,,,
TSK-025,AST-023,Engineering,Inspection,Inspection maintenance on Switch,2026-08-26,2026-08-19,2.5074714800934848,3.1008807667024687,Medium,Low,Medium,High,OVERDUE,"Track_Gang,Point_Machine_Team",Morning,COR-012,,,,,,,,
TSK-026,AST-120,S&T,Preventive,Preventive maintenance on Switch,2026-07-26,2026-08-23,3.3979176222578804,4.251466426466162,Critical,Medium,High,High,OVERDUE,Rail_Testing,Night,COR-002,,,,,,,,
TSK-027,AST-075,Engineering,Inspection,Inspection maintenance on Station,2026-08-22,2026-08-25,0.9679347903980267,1.4268886171562574,High,High,Medium,High,OVERDUE,Welding_Unit,Morning,COR-001,,,,,,,,
TSK-028,AST-006,Engineering,Preventive,Preventive maintenance on Bridge,2026-08-04,2026-08-22,1.8154836281369273,2.592906140605909,Low,Critical,Medium,High,OVERDUE,OHE_Team,Night,COR-007,,,,,,,,
TSK-029,AST-041,Traction,Emergency,Emergency maintenance on Switch,2026-07-18,2026-08-20,1.0966187905357472,1.3749475762166958,High,Critical,Medium,High,OVERDUE,Track_Machine,Night,COR-004,,,,,,,,
TSK-030,AST-074,Engineering,Preventive,Preventive maintenance on Switch,2026-07-11,2026-08-24,1.6091644820221866,1.9418074554028186,High,Critical,Medium,High,OVERDUE,"SCADA_Team,Rail_Testing",Any,COR-002,,,,,,,,
TSK-031,AST-019,Engineering,Corrective,Corrective maintenance on Track,2026-08-05,2026-08-24,1.6933669077504598,2.538473676682657,High,Critical,Medium,High,OVERDUE,"Bridge_Inspector,Telecom_Team",Early_Morning,COR-002,,,,,,,,
TSK-032,AST-042,Engineering,Corrective,Corrective maintenance on OHE,2026-08-09,2026-09-15,0.7709404319466271,1.006180681474591,Critical,Critical,High,High,SCHEDULED,Track_Gang,Early_Morning,COR-002,,,,,,,,
TSK-033,AST-070,Engineering,Emergency,Emergency maintenance on Bridge,2026-08-27,2026-09-02,3.6856864345064375,4.6186566178667094,Critical,Critical,High,High,IN_PROGRESS,Point_Machine_Team,Night,COR-002,,,,,,,,
TSK-034,AST-043,Engineering,Preventive,Preventive maintenance on Track,2026-08-05,2026-08-30,2.271156423441428,2.645907285717822,High,Critical,Medium,High,OVERDUE,"Track_Gang,Track_Machine",Early_Morning,COR-011,,,,,,,,
TSK-035,AST-075,Engineering,Inspection,Inspection maintenance on Station,2026-07-15,2026-08-23,3.8796344098330944,4.7976651415794755,High,Critical,Medium,High,OVERDUE,Track_Gang,Night,COR-001,,,,,,,,
TSK-036,AST-101,Engineering,Preventive,Preventive maintenance on Track,2026-08-09,2026-09-06,1.9625939881616339,2.1937946561387034,Medium,Critical,Medium,High,PENDING,"Point_Machine_Team,Welding_Unit",Night,COR-009,,,,,,,,
TSK-037,AST-083,Traction,Preventive,Preventive maintenance on Switch,2026-08-18,2026-09-13,1.9367454979408276,2.853362920056892,Low,Critical,Medium,High,PENDING,"OHE_Team,Signal_Team",Early_Morning,COR-012,,,,,,,,
TSK-038,AST-036,Traction,Preventive,Preventive maintenance on OHE,2026-08-21,2026-09-15,3.950769590187212,5.579564549318361,High,Critical,Medium,High,PENDING,"Track_Gang,SCADA_Team",Afternoon,COR-005,,,,,,,,
TSK-039,AST-069,Engineering,Inspection,Inspection maintenance on Track,2026-08-19,2026-09-26,1.3312011482676995,1.9855767979618764,High,Critical,Medium,High,PENDING,Telecom_Team,Morning,COR-003,,,,,,,,
